start city name,start city coordinates,intermediate city name,intermediate city coordinates,daily_temperature_2m_max,daily_temperature_2m_min,daily_precipitation_sum,daily_rain_sum,daily_snowfall_sum,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,time(minutes),risk_factor,date
Township of Monroe,"('-79.40000', '41.20000')",Township of Clarion,"('-79.30000', '41.20000')",[74.477295],[54.9473],[0.],[0.],[0.],[10.31206],[25.0544],9.85895,3.9636837830196847,2019-06-08
Township of Clarion,"('-79.30000', '41.20000')",Township of Union,"('-79.20000', '41.20000')",[74.3504],[55.4504],[0.],[0.],[0.],[10.093803],[24.383299],9.770199999999999,3.9154852406892697,2019-06-08
Township of Union,"('-79.20000', '41.20000')",Township of Eldred,"('-79.10000', '41.20000')",[74.2028],[54.942802],[0.],[0.],[0.],[10.31206],[25.0544],13.312683333333332,3.973433185517535,2019-06-08
Township of Eldred,"('-79.10000', '41.20000')",Township of Warsaw,"('-79.00000', '41.20000')",[74.2964],[55.0364],[0.],[0.],[0.],[10.31206],[25.0544],12.11125,3.9606238477042655,2019-06-08
Township of Warsaw,"('-79.00000', '41.20000')",Township of Knox,"('-79.00000', '41.10000')",[74.9408],[54.9608],[0.],[0.],[0.],[10.377366],[25.278101],18.4757,3.995688453926235,2019-06-08
Township of Knox,"('-79.00000', '41.10000')",Township of Winslow,"('-78.90000', '41.10000')",[74.2388],[54.2588],[0.],[0.],[0.],[10.377366],[25.278101],13.793766666666667,4.04234987006648,2019-06-08
Township of Winslow,"('-78.90000', '41.10000')",Township of Washington,"('-78.90000', '41.20000')",[74.5025],[54.7925],[0.],[0.],[0.],[10.31206],[25.0544],16.769283333333334,4.002583363218628,2019-06-08
Township of Washington,"('-78.90000', '41.20000')",Sandy,"('-78.80000', '41.10000')",[74.0498],[54.789803],[0.],[0.],[0.],[10.599226],[25.0544],23.40515,4.048966123663679,2019-06-08
Sandy,"('-78.80000', '41.10000')",Township of Pine,"('-78.50000', '41.10000')",[71.8781],[53.6081],[0.],[0.],[0.],[10.73993],[27.9625],37.144800000000004,4.361659431932975,2019-06-08
